2026-04-23 00:59:35 | ERROR    | cli | BINANCE_API_KEY and BINANCE_API_SECRET must be set.
2026-04-23 01:00:01 | INFO     | cli | Bot started | symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=None stop=None
2026-04-23 01:00:01 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 01:00:02 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01 price=MARKET stop=N/A
2026-04-23 01:00:02 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776886202039, 'recvWindow': 5000}
2026-04-23 01:00:02 | DEBUG    | bot.client | Order response: {'orderId': 13062596279, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'iA035z1BUdvscQFgWaLuTh', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776886201976}
2026-04-23 01:00:02 | INFO     | bot.orders | Order SUCCESS | orderId=13062596279 status=NEW executedQty=0.0000
2026-04-23 01:08:46 | INFO     | cli | Bot started | symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=None stop=None
2026-04-23 01:08:46 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 01:08:46 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01 price=MARKET stop=N/A
2026-04-23 01:08:46 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776886726819, 'recvWindow': 5000}
2026-04-23 01:08:46 | DEBUG    | bot.client | Order response: {'orderId': 13062617397, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'Gi8ZkNcPNtdMsUaMbrXnmc', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776886726752}
2026-04-23 01:08:46 | INFO     | bot.orders | Order SUCCESS | orderId=13062617397 status=NEW executedQty=0.0000
2026-04-23 01:08:47 | INFO     | cli | Bot started | symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=100000.0 stop=None
2026-04-23 01:08:47 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 01:08:47 | INFO     | bot.client | Placing SELL LIMIT order | symbol=BTCUSDT qty=0.01 price=100000.0 stop=N/A
2026-04-23 01:08:47 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 100000.0, 'timeInForce': 'GTC', 'timestamp': 1776886727866, 'recvWindow': 5000}
